2	2	0	avg
1	1	1	1	0	0	3	512

7	1	1	1	3	0	512	256

5	5	1	1	2	2	256	157

1	5	1	1	0	2	157	128

3	3	1	1	1	1	128	128

5	5	1	1	2	2	128	256

3	3	1	1	1	1	256	128

3	3	1	1	1	1	128	64

3	3	1	1	1	1	64	315

7	7	1	1	3	3	315	464

5	5	1	1	2	2	464	64

5	3	1	1	2	1	64	203

5	3	1	1	2	1	203	74

3	3	2	2	1	1	74	256

5	3	1	2	2	1	256	64

1	1	2	2	0	0	64	128

3	3	1	1	1	1	128	478

3	3	1	1	1	1	478	506

2	2	0	max
7	7	1	1	3	3	506	512

5	5	1	1	2	2	512	293

5	5	1	1	2	2	293	128

1	1	2	2	0	0	128	512

7	7	1	1	3	3	512	160

4480	1000
