5	5	1	1	2	2	3	128

5	5	1	1	2	2	128	110

3	3	1	1	1	1	110	512

7	7	1	1	3	3	512	64

3	3	1	1	1	1	64	387

7	7	2	2	3	3	387	64

3	3	1	1	1	1	64	256

1	1	1	1	0	0	256	512

5	5	1	1	2	2	512	256

1	1	1	1	0	0	256	80

1	1	1	1	0	0	80	256

1	1	1	1	0	0	256	512

3	3	1	2	1	1	512	128

3	7	1	1	1	3	128	64

1	1	1	1	0	0	64	128

5	5	1	1	2	2	128	276

7	7	2	1	3	3	276	64

1	1	1	1	0	0	64	128

3	3	1	2	1	1	128	256

3	3	1	1	1	1	256	512

3	3	1	1	1	1	512	64

2	2	0	avg
3	3	1	1	1	1	64	256

3	3	2	2	1	1	256	128

1	1	1	1	0	0	128	64

5	5	1	1	2	2	64	256

5	5	1	1	2	2	256	512

5	5	1	1	2	2	512	161

3	3	1	1	1	1	161	64

5	1	2	1	2	0	64	452

2	2	0	avg
4068	1000
