1	1	1	1	0	0	3	128

1	1	1	1	0	0	128	239

5	5	1	1	2	2	239	351

5	7	1	1	2	3	351	200

5	1	1	1	2	0	200	391

3	1	1	1	1	0	391	163

3	5	1	1	1	2	163	64

1	1	1	1	0	0	64	64

3	3	1	1	1	1	64	256

7	7	1	1	3	3	256	415

3	5	1	2	1	2	415	364

5	5	1	1	2	2	364	128

3	3	1	1	1	1	128	64

5	1	1	1	2	0	64	106

1	1	1	1	0	0	106	436

1	1	2	2	0	0	436	512

5	5	2	2	2	2	512	128

1	3	1	1	0	1	128	256

7	7	1	1	3	3	256	64

3	3	2	2	1	1	64	128

1	3	1	1	0	1	128	99

1	5	1	1	0	2	99	270

5	5	2	2	2	2	270	256

1	5	1	1	0	2	256	197

5	5	1	1	2	2	197	256

7	7	1	1	3	3	256	344

3	3	1	1	1	1	344	64

3	3	2	1	1	1	64	128

1	1	1	1	0	0	128	488

7	1	1	2	3	0	488	512

7	7	1	1	3	3	512	320

8960	1000
