7	7	1	1	3	3	3	64

7	7	1	1	3	3	64	64

3	3	1	1	1	1	64	512

3	3	1	1	1	1	512	512

7	7	2	2	3	3	512	64

5	5	1	1	2	2	64	512

5	5	1	1	2	2	512	256

2	2	0	avg
1	1	1	1	0	0	256	336

3	3	1	1	1	1	336	83

1	3	1	1	0	1	83	233

5	5	1	1	2	2	233	512

7	7	1	1	3	3	512	128

1	1	1	1	0	0	128	64

7	7	1	1	3	3	64	64

3	5	1	1	1	2	64	364

2	2	0	max
1	1	1	1	0	0	364	256

3	3	1	1	1	1	256	128

7	3	1	2	3	1	128	256

3	3	1	1	1	1	256	512

3	1	1	1	1	0	512	128

7	3	1	1	3	1	128	512

5	5	1	1	2	2	512	256

1	1	1	1	0	0	256	64

5	5	1	1	2	2	64	128

1	1	1	1	0	0	128	256

7	3	1	1	3	1	256	287

5	5	2	2	2	2	287	489

3	3	1	1	1	1	489	192

3	3	1	1	1	1	192	64

1	1	2	1	0	0	64	128

3	3	2	2	1	1	128	512

8192	1000
