1	1	1	1	0	0	3	128

5	5	1	1	2	2	128	174

7	5	2	1	3	2	174	512

7	7	1	1	3	3	512	512

7	7	1	1	3	3	512	108

7	5	1	1	3	2	108	114

5	5	1	1	2	2	114	377

1	1	1	1	0	0	377	128

2	2	0	avg
7	3	2	1	3	1	128	208

7	7	1	1	3	3	208	64

1	1	1	1	0	0	64	64

7	7	1	1	3	3	64	89

1	1	2	2	0	0	89	64

3	7	1	1	1	3	64	152

3	3	1	1	1	1	152	256

7	7	1	1	3	3	256	512

5	5	1	2	2	2	512	512

1	1	1	1	0	0	512	128

5	5	1	1	2	2	128	128

3	3	1	1	1	1	128	512

3	3	1	1	1	1	512	256

3	3	2	2	1	1	256	64

3	3	1	1	1	1	64	347

1	1	1	1	0	0	347	227

5	7	1	1	2	3	227	256

5	5	2	2	2	2	256	157

4396	1000
